Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
AHMA,Ambitions Enterprise Management Co. L.L.C,1.41,USD,733585,0.08069348270644787,1.41,USD,125.89285714285714,Commercial services,Miscellaneous commercial services,5995892.166666667,41594999.19886363,USD,17.877100000000002,10740000,9.498832307341452,0.0112,USD,27.272727272727266,11.228976697061785,,,,,G0262A103
AI,"C3.ai, Inc.",9.87,USD,4299647,1.097095654973567,9.87,USD,,Technology services,Packaged software,4567130.666666667,1399479421.143006,USD,93.9118,141791000,4.424537543389363,-3.155,USD,-41.59411183915266,4.343030829352959,-0.4,USD,-0.37565,USD,12468P104
AIB,"BlockchAIn Digital Infrastructure, Inc",1.18,USD,249906,0.9975240124489925,1.18,USD,,Technology services,Packaged software,3381557.1333333333,44402297.879999995,USD,30.007100000000005,37629066,12.56644973030812,-4.6216,USD,82.60712484664192,9.383171912832973,,,,,093919108
AIFF,"Firefly Neuroscience, Inc.",1.89,USD,206922,0.38617516715370453,1.89,USD,,Health technology,Medical specialties,1319374.5333333334,27958912.24736842,USD,80.66590000000001,14793100,23.2331850262697,-2.2764,USD,13.873860239869842,11.58012093726382,,,,,317970101
AIOT,"PowerFleet, Inc.",3.41,USD,1073175,0.7185865344111668,3.41,USD,,Technology services,Packaged software,1453408.8333333333,457442229.8147059,USD,93.02620000000002,134146999.99999999,1.0514024369117037,-0.2276,USD,88.74548781090837,4.681608713866852,-0.03,USD,-0.001429,USD,73931J109
AIRS,"AirSculpt Technologies, Inc.",3.86,USD,2395734,1.7927826499835555,3.86,USD,,Health technology,Medical specialties,1487085,272306317.21387285,USD,13.062000000000001,70545685,1.4689780995665878,-0.191,USD,-32.73106323835997,7.950777202072796,-0.01,USD,0.015,USD,009496100
AKAM,"Akamai Technologies, Inc.",147.71,USD,21137546,4.338710969569605,147.71,USD,49.730657868157024,Technology services,Data processing services,5527056.333333333,21746317609.810696,USD,97.71269999999998,147223000,4.103004369239918,2.9702,USD,0.19227525721032343,3.673462479569187,1.61,USD,1.603328,USD,00971T101
AKBA,"Akebia Therapeutics, Inc.",1.16,USD,4391341,1.2893968833607194,1.16,USD,,Health technology,Pharmaceuticals: major,2761392.566666667,311170021.62711865,USD,96.50490000000002,268250000,1.3558939213610781,-0.0772,USD,64.12639405204462,5.928571428571115,-0.03,USD,-0.04,USD,00972D105
ALAB,"Astera Labs, Inc.",199.79,USD,4481285,0.7607740897605403,199.79,USD,134.6656780803451,Electronic technology,Semiconductors,5694207.066666666,34245592008.8922,USD,80.6892,171407940,35.39226062565652,1.4836,USD,532.3955669224212,7.576605435707484,0.61,USD,0.689647,USD,04626A103
ALB,Albemarle Corporation,203.52,USD,3126464,1.563067409001832,203.52,USD,,Process industries,Chemicals: specialty,2066688.7666666666,24002060015.712025,USD,99.70589999999999,117935000,4.281616721414525,-3.4136,USD,69.31098964326812,5.093125280772657,2.95,USD,2.76706,USD,012653101
